# CLASS transfer function for vanilla LCDM with 3 massless neutrinos
# omega_b = 0.022383, omega_cdm = 0.12011, h = 0.6732, ln10^{10}A_s = 3.0448, n_s = 0.96605
# (cosmo parameters taken from first column in Table 1 of arxiv:1807.06209)
# 1:k (h/Mpc)   2:T(k)
1.00000e-04        9.99230e-01
1.00539e-04        9.99228e-01
1.01081e-04        9.99227e-01
1.01625e-04        9.99226e-01
1.02173e-04        9.99224e-01
1.02724e-04        9.99223e-01
1.03277e-04        9.99222e-01
1.03834e-04        9.99220e-01
1.04393e-04        9.99219e-01
1.04956e-04        9.99217e-01
1.05522e-04        9.99216e-01
1.06090e-04        9.99214e-01
1.06662e-04        9.99213e-01
1.07237e-04        9.99211e-01
1.07815e-04        9.99210e-01
1.08396e-04        9.99208e-01
1.08980e-04        9.99207e-01
1.09567e-04        9.99205e-01
1.10157e-04        9.99203e-01
1.10751e-04        9.99202e-01
1.11348e-04        9.99200e-01
1.11948e-04        9.99199e-01
1.12551e-04        9.99197e-01
1.13158e-04        9.99195e-01
1.13768e-04        9.99193e-01
1.14381e-04        9.99192e-01
1.14997e-04        9.99190e-01
1.15617e-04        9.99188e-01
1.16240e-04        9.99186e-01
1.16866e-04        9.99185e-01
1.17496e-04        9.99183e-01
1.18129e-04        9.99181e-01
1.18766e-04        9.99179e-01
1.19406e-04        9.99177e-01
1.20049e-04        9.99175e-01
1.20696e-04        9.99174e-01
1.21347e-04        9.99172e-01
1.22001e-04        9.99170e-01
1.22658e-04        9.99168e-01
1.23319e-04        9.99166e-01
1.23984e-04        9.99164e-01
1.24652e-04        9.99162e-01
1.25324e-04        9.99160e-01
1.25999e-04        9.99157e-01
1.26678e-04        9.99155e-01
1.27361e-04        9.99153e-01
1.28047e-04        9.99151e-01
1.28737e-04        9.99149e-01
1.29431e-04        9.99147e-01
1.30128e-04        9.99144e-01
1.30829e-04        9.99142e-01
1.31535e-04        9.99140e-01
1.32243e-04        9.99138e-01
1.32956e-04        9.99135e-01
1.33672e-04        9.99133e-01
1.34393e-04        9.99131e-01
1.35117e-04        9.99128e-01
1.35845e-04        9.99126e-01
1.36577e-04        9.99123e-01
1.37313e-04        9.99121e-01
1.38053e-04        9.99118e-01
1.38797e-04        9.99116e-01
1.39545e-04        9.99113e-01
1.40297e-04        9.99111e-01
1.41053e-04        9.99108e-01
1.41813e-04        9.99106e-01
1.42578e-04        9.99103e-01
1.43346e-04        9.99100e-01
1.44118e-04        9.99097e-01
1.44895e-04        9.99095e-01
1.45676e-04        9.99092e-01
1.46461e-04        9.99089e-01
1.47250e-04        9.99086e-01
1.48044e-04        9.99083e-01
1.48842e-04        9.99080e-01
1.49644e-04        9.99078e-01
1.50450e-04        9.99075e-01
1.51261e-04        9.99072e-01
1.52076e-04        9.99069e-01
1.52896e-04        9.99066e-01
1.53719e-04        9.99062e-01
1.54548e-04        9.99059e-01
1.55381e-04        9.99056e-01
1.56218e-04        9.99053e-01
1.57060e-04        9.99050e-01
1.57906e-04        9.99047e-01
1.58757e-04        9.99043e-01
1.59613e-04        9.99040e-01
1.60473e-04        9.99037e-01
1.61338e-04        9.99033e-01
1.62207e-04        9.99030e-01
1.63081e-04        9.99026e-01
1.63960e-04        9.99023e-01
1.64844e-04        9.99019e-01
1.65732e-04        9.99016e-01
1.66625e-04        9.99012e-01
1.67523e-04        9.99008e-01
1.68426e-04        9.99005e-01
1.69334e-04        9.99001e-01
1.70246e-04        9.98997e-01
1.71163e-04        9.98993e-01
1.72086e-04        9.98989e-01
1.73013e-04        9.98986e-01
1.73946e-04        9.98982e-01
1.74883e-04        9.98978e-01
1.75825e-04        9.98974e-01
1.76773e-04        9.98970e-01
1.77726e-04        9.98965e-01
1.78683e-04        9.98961e-01
1.79646e-04        9.98957e-01
1.80614e-04        9.98953e-01
1.81588e-04        9.98949e-01
1.82566e-04        9.98944e-01
1.83550e-04        9.98940e-01
1.84539e-04        9.98935e-01
1.85534e-04        9.98931e-01
1.86534e-04        9.98926e-01
1.87539e-04        9.98922e-01
1.88549e-04        9.98917e-01
1.89565e-04        9.98913e-01
1.90587e-04        9.98908e-01
1.91614e-04        9.98903e-01
1.92647e-04        9.98898e-01
1.93685e-04        9.98893e-01
1.94729e-04        9.98889e-01
1.95778e-04        9.98884e-01
1.96833e-04        9.98879e-01
1.97894e-04        9.98873e-01
1.98960e-04        9.98868e-01
2.00032e-04        9.98863e-01
2.01110e-04        9.98858e-01
2.02194e-04        9.98853e-01
2.03284e-04        9.98847e-01
2.04379e-04        9.98842e-01
2.05481e-04        9.98836e-01
2.06588e-04        9.98831e-01
2.07701e-04        9.98825e-01
2.08821e-04        9.98820e-01
2.09946e-04        9.98814e-01
2.11077e-04        9.98808e-01
2.12215e-04        9.98802e-01
2.13358e-04        9.98797e-01
2.14508e-04        9.98791e-01
2.15664e-04        9.98785e-01
2.16826e-04        9.98779e-01
2.17995e-04        9.98772e-01
2.19170e-04        9.98766e-01
2.20351e-04        9.98760e-01
2.21538e-04        9.98754e-01
2.22732e-04        9.98747e-01
2.23932e-04        9.98741e-01
2.25139e-04        9.98734e-01
2.26352e-04        9.98728e-01
2.27572e-04        9.98721e-01
2.28798e-04        9.98714e-01
2.30031e-04        9.98708e-01
2.31271e-04        9.98701e-01
2.32517e-04        9.98694e-01
2.33770e-04        9.98687e-01
2.35030e-04        9.98680e-01
2.36297e-04        9.98672e-01
2.37570e-04        9.98665e-01
2.38850e-04        9.98658e-01
2.40138e-04        9.98651e-01
2.41432e-04        9.98643e-01
2.42733e-04        9.98636e-01
2.44041e-04        9.98628e-01
2.45356e-04        9.98620e-01
2.46678e-04        9.98612e-01
2.48008e-04        9.98605e-01
2.49344e-04        9.98597e-01
2.50688e-04        9.98589e-01
2.52039e-04        9.98580e-01
2.53397e-04        9.98572e-01
2.54762e-04        9.98564e-01
2.56135e-04        9.98556e-01
2.57516e-04        9.98547e-01
2.58903e-04        9.98539e-01
2.60299e-04        9.98530e-01
2.61701e-04        9.98521e-01
2.63112e-04        9.98512e-01
2.64530e-04        9.98504e-01
